Actors,Awards,BoxOffice,Country,DVD,Director,Episode,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Season,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,seriesID,totalSeasons
"Dennis Quaid, Matthew Fox, Forest Whitaker, Bruce McGill",2 wins & 2 nominations.,"$72,266,306",USA,01 Jul 2008,Pete Travis,,"Action, Crime, Drama, Mystery, Thriller","English, Spanish",40,The attempted assassination of the American President is told and re-told from several different perspectives.,https://m.media-amazon.com/images/M/MV5BMTg3MjQ5OTY4M15BMl5BanBnXkFtZTcwNjk1MDU1MQ@@._V1_SX300.jpg,Sony Pictures Releasing,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",22 Feb 2008,True,90 min,,Vantage Point,movie,http://www.vantagepoint-movie.com/index.php,Barry L. Levy,2008,tt0443274,6.6,"138,180",,
"Paul Rudd, Rashida Jones, Sarah Burns, Greg Levine",1 win & 8 nominations.,"$71,300,000",USA,11 Aug 2009,John Hamburg,,"Comedy, Romance",English,70,"Friendless Peter Klaven goes on a series of man-dates to find a Best Man for his wedding. But, when his insta-bond with his new B.F.F. puts a strain on his relationship with his fiancée, can the trio learn to live happily ever after?",https://m.media-amazon.com/images/M/MV5BMTU4MjI5NTEyNV5BMl5BanBnXkFtZTcwNjQ1NTMzMg@@._V1_SX300.jpg,Dreamworks/Paramount,R,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",20 Mar 2009,True,105 min,,"I Love You, Man",movie,http://www.iloveyouman.com/,"John Hamburg (screenplay), Larry Levin (screenplay), Larry Levin (story)",2009,tt1155056,7.0,"184,679",,
"Gwyneth Paltrow, Jack Black, Jason Alexander, Joe Viterelli",3 nominations.,"$70,703,043","USA, Germany",02 Jul 2002,"Bobby Farrelly, Peter Farrelly",,"Comedy, Drama, Fantasy, Romance",English,48,A shallow man falls in love with a 300-pound woman because of her inner beauty.,https://m.media-amazon.com/images/M/MV5BMTcwMzY2NDE0NF5BMl5BanBnXkFtZTYwNjg2Njc2._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",09 Nov 2001,True,114 min,,Shallow Hal,movie,http://www.shallowhalmovie.com,"Sean Moynihan, Peter Farrelly, Bobby Farrelly",2001,tt0256380,5.9,"120,292",,
"Sally Kirkland, Anthony Ramirez, Ray LePere, Steve Reed",Won 2 Oscars. Another 17 wins & 27 nominations.,N/A,"France, USA",27 Aug 1997,Oliver Stone,,"Drama, History, Thriller","English, Spanish",72,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,https://m.media-amazon.com/images/M/MV5BYjYyODExMDctZjgwYy00ZjQwLWI4OWYtOGFlYjA4ZjEzNmY1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Warner Bros.,R,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",20 Dec 1991,True,189 min,,JFK,movie,N/A,"Oliver Stone (screenplay), Zachary Sklar (screenplay), Jim Garrison (book), Jim Marrs (book)",1991,tt0102138,8.0,"129,721",,
"Martin Lawrence, Nia Long, Emily Procter, Zachary Levi",1 win & 5 nominations.,"$70,121,252",USA,09 May 2006,John Whitesell,,"Comedy, Crime",English,34,An FBI agent reprises his disguise as a corpulent old lady and takes a job as a nanny in a crime suspect's house.,https://m.media-amazon.com/images/M/MV5BZjZmYTQ3OTktODkzYy00YmQxLTgxMjEtY2ZkZDY4MDYzNDNmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '6%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",27 Jan 2006,True,99 min,,Big Momma's House 2,movie,http://www.bigmommashouse2.com/,"Don Rhymer, Darryl Quarles (characters)",2006,tt0421729,4.7,"37,418",,
"Brad Pitt, Julia Roberts, James Gandolfini, J.K. Simmons",3 wins & 1 nomination.,"$66,588,591","USA, Mexico",07 Aug 2001,Gore Verbinski,,"Adventure, Comedy, Crime, Romance","English, Spanish",43,"A man tries to transport an ancient gun called The Mexican, believed to carry a curse, back across the border, while his girlfriend pressures him to give up his criminal ways.",https://m.media-amazon.com/images/M/MV5BNWIxZTExZjctZjA5ZC00NGQ2LTk4M2YtMWIyMGM2NzRlNWVkXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,Dreamworks Distribution LLC,R,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",02 Mar 2001,True,123 min,,The Mexican,movie,http://themexican.cannery.com,J.H. Wyman,2001,tt0236493,6.1,"96,818",,
"Jack O'Connell, Domhnall Gleeson, Garrett Hedlund, Miyavi",Nominated for 3 Oscars. Another 14 wins & 29 nominations.,"$70,500,647",USA,24 Mar 2015,Angelina Jolie,,"Biography, Drama, Sport, War","English, Japanese, Italian",59,"After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.",https://m.media-amazon.com/images/M/MV5BMTY3ODg2OTgyOF5BMl5BanBnXkFtZTgwODk1OTAwMzE@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",25 Dec 2014,True,137 min,,Unbroken,movie,http://www.unbrokenfilm.com/,"Joel Coen (screenplay), Ethan Coen (screenplay), Richard LaGravenese (screenplay), William Nicholson (screenplay), Laura Hillenbrand (book)",2014,tt1809398,7.2,"128,800",,
"Zac Efron, Leslie Mann, Thomas Lennon, Matthew Perry",3 wins & 5 nominations.,"$64,087,443",USA,11 Aug 2009,Burr Steers,,"Comedy, Drama, Fantasy",English,48,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,https://m.media-amazon.com/images/M/MV5BMjA2NTI1Mzg3N15BMl5BanBnXkFtZTcwMjYwNjAzMg@@._V1_SX300.jpg,New Line Cinema,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",17 Apr 2009,True,102 min,,17 Again,movie,http://www.17againmovie.com/,Jason Filardi,2009,tt0974661,6.4,"165,587",,
"Cameron Diaz, Leslie Mann, Nikolaj Coster-Waldau, Don Johnson",3 wins & 5 nominations.,"$77,860,761",USA,29 Jul 2014,Nick Cassavetes,,"Comedy, Romance",English,39,"After discovering her boyfriend is married, Carly soon meets the wife he's been betraying. And when yet another love affair is discovered, all three women team up to plot revenge on the three-timing S.O.B.",https://m.media-amazon.com/images/M/MV5BMTc0ODE4ODY1OF5BMl5BanBnXkFtZTgwMDA5NjkzMTE@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",25 Apr 2014,True,109 min,,The Other Woman,movie,http://otherwomanmovie.com,Melissa Stack,2014,tt2203939,6.0,"121,786",,
"Bobby Campo, Shantel VanSanten, Nick Zano, Haley Webb",2 wins & 1 nomination.,"$66,436,248",USA,05 Jan 2010,David R. Ellis,,"Horror, Thriller",English,30,"After a young man's premonition of a deadly race-car crash helps saves the lives of his peers, Death sets out to collect those who evaded their end.",https://m.media-amazon.com/images/M/MV5BMTQyMzQ5NjI2MF5BMl5BanBnXkFtZTcwNDA5MjM2Mg@@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",28 Aug 2009,True,82 min,,The Final Destination,movie,http://www.thefinaldestinationmovie.com/,"Eric Bress, Jeffrey Reddick (characters)",2009,tt1144884,5.2,"88,112",,
"Mark Rylance, Domenick Lombardozzi, Victor Verhaeghe, Mark Fichera",Won 1 Oscar. Another 30 wins & 99 nominations.,N/A,"Germany, India, USA",02 Feb 2016,Steven Spielberg,,"Drama, History, Thriller","English, German, Russian",81,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",https://m.media-amazon.com/images/M/MV5BMjIxOTI0MjU5NV5BMl5BanBnXkFtZTgwNzM4OTk4NTE@._V1_SX300.jpg,Dreamworks Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",16 Oct 2015,True,142 min,,Bridge of Spies,movie,http://bridgeofspies.com/,"Matt Charman, Ethan Coen, Joel Coen",2015,tt3682448,7.6,"260,812",,
"Owen Wilson, Gene Hackman, Gabriel Macht, Charles Malik Whitfield",1 win & 2 nominations.,"$58,767,833",USA,23 Apr 2002,John Moore,,"Action, Drama, Thriller, War","English, Serbo-Croatian, Spanish, Czech",49,A Navy navigator is shot down over enemy territory and is ruthlessly pursued by a secret police enforcer and the opposing troops. Meanwhile his commanding officer goes against orders in an attempt to rescue him.,https://m.media-amazon.com/images/M/MV5BM2RhNjdlYjMtOTM4Ni00MWZhLTkyZmItNmI2NDkxMjBhYTJkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",30 Nov 2001,True,106 min,,Behind Enemy Lines,movie,http://www.behindenemylinesmovie.com,"Jim Thomas (story), John Thomas (story), David Veloz (screenplay), Zak Penn (screenplay)",2001,tt0159273,6.4,"94,116",,
"Russell Brand, Rose Byrne, Tyler McKinney, Zoe Salmon",14 nominations.,"$60,923,325",USA,28 Sep 2010,Nicholas Stoller,,"Adventure, Comedy, Music",English,65,A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.,https://m.media-amazon.com/images/M/MV5BMjIyMzQ0MjExNV5BMl5BanBnXkFtZTcwMzkyMzgxMw@@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",04 Jun 2010,True,109 min,,Get Him to the Greek,movie,http://www.gethimtothegreek.net/,"Nicholas Stoller, Jason Segel (characters)",2010,tt1226229,6.4,"160,749",,
"Richard Gere, Jennifer Lopez, Susan Sarandon, Lisa Ann Walter",7 nominations.,"$57,825,111",USA,01 Feb 2005,Peter Chelsom,,"Comedy, Drama, Music, Romance",English,47,"A romantic comedy where a bored, overworked Estate Lawyer, upon first sight of a beautiful instructor, signs up for ballroom dancing lessons.",https://m.media-amazon.com/images/M/MV5BMTcwODUwMTMxN15BMl5BanBnXkFtZTcwNzc3MjcyMQ@@._V1_SX300.jpg,Miramax Films,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",15 Oct 2004,True,106 min,,Shall We Dance,movie,http://www.miramax.com/shallwedance/,"Masayuki Suo, Audrey Wells (screenplay)",2004,tt0358135,6.1,"40,237",,
"David Cross, Jay Mohr, Alexandra Wilson, Denis Leary",3 wins & 4 nominations.,N/A,USA,01 Dec 1998,Joe Dante,,"Action, Adventure, Comedy, Family, Sci-Fi",English,N/A,"When missile technology is used to enhance toy action figures, the toys soon begin to take their battle programming too seriously.",https://m.media-amazon.com/images/M/MV5BNzhiZmZkYjQtMTFlZi00YmQ2LTg5NGEtM2M4ZTg4ZjAyNzI1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Dreamworks,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}]",10 Jul 1998,True,110 min,,Small Soldiers,movie,N/A,"Gavin Scott, Adam Rifkin, Ted Elliott, Terry Rossio",1998,tt0122718,6.1,"85,770",,
"Michael Jai White, John Leguizamo, Martin Sheen, Theresa Randle",1 win & 5 nominations.,N/A,USA,22 Apr 1998,Mark A.Z. Dippé,,"Action, Horror",English,34,"An elite mercenary is killed, but comes back from Hell as a reluctant soldier of the Devil.",https://m.media-amazon.com/images/M/MV5BN2ZkMWFlODEtNzIyOC00NmU2LTg5MDQtYWQxY2UyYmQxZGJlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,New Line Home Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",01 Aug 1997,True,96 min,,Spawn,movie,N/A,"Todd McFarlane (comic book), Alan B. McElroy (screen story), Mark A.Z. Dippé (screen story), Alan B. McElroy (screenplay)",1997,tt0120177,5.2,"59,515",,
"Jim Caviezel, Guy Pearce, Richard Harris, James Frain",N/A,"$54,111,443","UK, USA, Ireland, Switzerland",10 Sep 2002,Kevin Reynolds,,"Action, Adventure, Drama, Romance, Thriller",English,61,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",https://m.media-amazon.com/images/M/MV5BMDM0ZWRjZDgtZWI0MS00ZTIzLTg4MWYtZjU5MDEyMDU0ODBjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Touchstone Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",25 Jan 2002,True,131 min,,The Count of Monte Cristo,movie,http://bventertainment.go.com/movies/montecristo,"Alexandre Dumas (novel), Jay Wolpert (screenplay)",2002,tt0245844,7.8,"119,187",,
"Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy",1 nomination.,"$57,900,000",USA,12 Jul 2011,Brad Furman,,"Crime, Drama, Thriller",English,63,A lawyer defending a wealthy man begins to believe his client is guilty of more than just one crime.,https://m.media-amazon.com/images/M/MV5BMTQ4NDE4NTY5MV5BMl5BanBnXkFtZTcwODQyMTkxNA@@._V1_SX300.jpg,Lionsgate Films,R,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",18 Mar 2011,True,118 min,,The Lincoln Lawyer,movie,http://www.thelincolnlawyermovie.com/,"John Romano (screenplay), Michael Connelly (novel)",2011,tt1189340,7.3,"195,065",,
"Liam Neeson, Diane Kruger, January Jones, Aidan Quinn",3 nominations.,"$63,677,735","UK, Germany, France, USA",21 Jun 2011,Jaume Collet-Serra,,"Action, Mystery, Thriller","English, German, Turkish, Arabic",56,"A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.",https://m.media-amazon.com/images/M/MV5BODA4NTk3MTQwN15BMl5BanBnXkFtZTcwNjUwMTMxNA@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",18 Feb 2011,True,113 min,,Unknown,movie,http://unknownmovie.warnerbros.com/,"Oliver Butcher (screenplay), Stephen Cornwell (screenplay), Didier Van Cauwelaert (novel)",2011,tt1401152,6.9,"233,878",,
"Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo",Nominated for 2 Oscars. Another 5 wins & 37 nominations.,"$53,100,000","USA, UK",20 Feb 2007,Christopher Nolan,,"Drama, Mystery, Sci-Fi, Thriller",English,66,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_SX300.jpg,Buena Vista Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",20 Oct 2006,True,130 min,,The Prestige,movie,http://touchstone.movies.go.com/index.html?dlink=prestige,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Priest (novel)",2006,tt0482571,8.5,"1,048,669",,
"Jason Bateman, Jason Sudeikis, Charlie Day, Jennifer Aniston",1 win & 3 nominations.,"$39,939,072",USA,24 Feb 2015,Sean Anders,,"Comedy, Crime",English,40,"Dale, Kurt and Nick decide to start their own business but things don't go as planned because of a slick investor, prompting the trio to pull off a harebrained and misguided kidnapping scheme.",https://m.media-amazon.com/images/M/MV5BNzU4OTEzNzAwN15BMl5BanBnXkFtZTgwMTgwODAwMzE@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",26 Nov 2014,True,108 min,,Horrible Bosses 2,movie,http://www.horriblebosses2.com,"Sean Anders (screenplay), John Morris (screenplay), Jonathan Goldstein (story), John Francis Daley (story), Sean Anders (story), John Morris (story), Michael Markowitz (characters)",2014,tt2170439,6.3,"142,619",,
"Brendan Fraser, Rob Corddry, Ricky Gervais, Jonathan Morgan Heit",1 win.,"$54,700,000","USA, Canada",04 Jun 2013,Cal Brunker,,"Animation, Adventure, Comedy, Family, Sci-Fi",English,35,Astronaut Scorch Supernova finds himself caught in a trap when he responds to an SOS from a notoriously dangerous alien planet.,https://m.media-amazon.com/images/M/MV5BMTQyMTk4NjkyMl5BMl5BanBnXkFtZTcwMzA2OTY4OA@@._V1_SX300.jpg,The Weinstein Co.,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",15 Feb 2013,True,89 min,,Escape from Planet Earth,movie,http://escapeearthmovie.com/,"Bob Barlen, Cal Brunker, Stephen Fry (additional writing by), David Javerbaum (additional writing by), Dan Mazer (additional writing by), Tony Leech (based on a story by), Cory Edwards (based on a story by)",2013,tt0765446,5.9,"23,114",,
"Rudy Youngblood, Dalia Hernández, Jonathan Brewer, Morris Birdyellowhead",Nominated for 3 Oscars. Another 9 wins & 20 nominations.,"$50,772,724",USA,22 May 2007,Mel Gibson,,"Action, Adventure, Drama, Thriller",Maya,68,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",https://m.media-amazon.com/images/M/MV5BMzhmNGMzMDMtZDM0Yi00MmVmLWExYjAtZDhjZjcxZDM0MzJhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Buena Vista,R,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",08 Dec 2006,True,139 min,,Apocalypto,movie,http://www.apocalypto.com/,"Mel Gibson, Farhad Safinia",2006,tt0472043,7.8,"268,453",,
"Timothy Dalton, Maryam d'Abo, Jeroen Krabbé, Joe Don Baker",3 wins & 4 nominations.,N/A,UK,17 Oct 2000,John Glen,,"Action, Adventure, Thriller","English, Arabic, French, German, Russian, Czech, Slovak, Dari, Pushto",60,James Bond is living on the edge to stop an evil arms dealer from starting another world war. Bond crosses all seven continents in order to stop the evil Whitaker and General Koskov.,https://m.media-amazon.com/images/M/MV5BZjI4MjBmYzItYTY5OC00OWYzLWE0NWYtZDQxNDQxM2QzYjA4XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,MGM Home Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",31 Jul 1987,True,130 min,,The Living Daylights,movie,N/A,"Richard Maibaum (screenplay), Michael G. Wilson (screenplay)",1987,tt0093428,6.7,"79,881",,
"Adrien Brody, Topher Grace, Alice Braga, Walton Goggins",2 wins & 4 nominations.,"$52,000,688",USA,19 Oct 2010,Nimród Antal,,"Action, Adventure, Sci-Fi, Thriller","English, Spanish, Russian",51,A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.,https://m.media-amazon.com/images/M/MV5BNjFmNDNlMGItMDQxMS00ZWMxLTg4MmQtMTBiNWU3ZDU1Nzk1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",09 Jul 2010,True,107 min,,Predators,movie,http://www.predators-movie.com/,"Alex Litvak, Michael Finch, Jim Thomas (characters), John Thomas (characters)",2010,tt1424381,6.4,"198,254",,
"Robert Redford, Debra Winger, Daryl Hannah, Brian Dennehy",1 win.,N/A,USA,29 Jul 1998,Ivan Reitman,,"Comedy, Crime, Romance",English,N/A,"A New York district attorney works and flirts with his adversary and her kooky artist client, who is on trial for a murder she didn't commit.",https://m.media-amazon.com/images/M/MV5BNGMwNjE2OGMtNmUwMi00YzhlLTg1YjQtMzhlODRiNDhiMTU1XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,MCA Universal Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}]",20 Jun 1986,True,116 min,,Legal Eagles,movie,N/A,"Ivan Reitman (story), Jim Cash (story), Jack Epps Jr. (story), Jim Cash (screenplay), Jack Epps Jr. (screenplay)",1986,tt0091396,5.9,"8,987",,
"Johnny Depp, John Turturro, Maria Bello, Timothy Hutton",3 nominations.,"$47,781,388",USA,22 Jun 2004,David Koepp,,"Drama, Mystery, Thriller",English,46,A successful writer in the midst of a painful divorce is stalked at his remote lake house by a would-be scribe who accuses him of plagiarism.,https://m.media-amazon.com/images/M/MV5BNmI5MWNlMjYtZTAxNy00N2Q3LTkwZDgtMWRjOWQ1ZjJiN2Y4XkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_SX300.jpg,Columbia Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",12 Mar 2004,True,96 min,,Secret Window,movie,http://www.sonypictures.com/movies/secretwindow,"Stephen King (novel), David Koepp (screenplay)",2004,tt0363988,6.6,"168,312",,
"Keanu Reeves, Sandra Bullock, Christopher Plummer, Ebon Moss-Bachrach",2 wins & 2 nominations.,"$52,300,000",USA,26 Sep 2006,Alejandro Agresti,,"Drama, Fantasy, Romance",English,52,"A lonely doctor, who once occupied an unusual lakeside house, begins exchanging love letters with its former resident, a frustrated architect. They must try to unravel the mystery behind their extraordinary romance before it's too late.",https://m.media-amazon.com/images/M/MV5BMTYxMTgxNDI3MV5BMl5BanBnXkFtZTcwMzIxMTIzMw@@._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",16 Jun 2006,True,99 min,,The Lake House,movie,http://thelakehousemovie.warnerbros.com/,"David Auburn (screenplay), Eun-Jeong Kim (motion picture ""Siworae""), Ji-na Yeo (motion picture ""Siworae"")",2006,tt0410297,6.8,"128,748",,
"Kate Hudson, Gena Rowlands, John Hurt, Peter Sarsgaard",5 nominations.,"$47,729,605","USA, Germany",15 Nov 2005,Iain Softley,,"Drama, Horror, Mystery, Thriller","English, French",47,A hospice nurse working at a spooky New Orleans plantation home finds herself entangled in a mystery involving the house's dark past.,https://m.media-amazon.com/images/M/MV5BMTMxNDYzODE3NF5BMl5BanBnXkFtZTcwMDc1NDAzMQ@@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",12 Aug 2005,True,104 min,,The Skeleton Key,movie,http://www.theskeletonkeymovie.com/,Ehren Kruger,2005,tt0397101,6.5,"99,143",,
"Jennifer Garner, Joel Edgerton, CJ Adams, Odeya Rush",1 win & 8 nominations.,"$51,853,450",USA,04 Dec 2012,Peter Hedges,,"Comedy, Drama, Family, Fantasy",English,47,"A childless couple bury a box in their backyard, containing all of their wishes for an infant. Soon, a child is born, though Timothy Green is not all that he appears.",https://m.media-amazon.com/images/M/MV5BMTQzODg3MzUyOV5BMl5BanBnXkFtZTcwNzI1MzUyNg@@._V1_SX300.jpg,Walt Disney Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",15 Aug 2012,True,105 min,,The Odd Life of Timothy Green,movie,http://disney.go.com/the-odd-life-of-timothy-green/,"Peter Hedges (screenplay), Ahmet Zappa (story)",2012,tt1462769,6.6,"42,564",,
"Patrick Dempsey, Michelle Monaghan, Kevin McKidd, Kadeem Hardison",1 win & 1 nomination.,"$46,012,734","USA, UK",16 Sep 2008,Paul Weiland,,"Comedy, Romance",English,37,A guy in love with an engaged woman tries to win her over after she asks him to be her maid of honor.,https://m.media-amazon.com/images/M/MV5BMTk1MzA5MjEzMF5BMl5BanBnXkFtZTcwNTk0MjU1MQ@@._V1_SX300.jpg,Sony Pictures/Columbia,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",02 May 2008,True,101 min,,Made of Honor,movie,http://www.sonypictures.com/movies/madeofhonor/,"Adam Sztykiel (screenplay), Deborah Kaplan (screenplay), Harry Elfont (screenplay), Adam Sztykiel (story)",2008,tt0866439,5.9,"62,701",,
