,Movie Title,Director,Actor 1,Actor 2,Actor 3,Budget,Profit / Loss,IMDB Rating,Profitable
519,Munich ,Steven Spielberg,Ayelet Zurer,Moritz Bleibtreu,Mathieu Amalric,70000000.0,-22620910,7.6,0
520,Tears of the Sun ,Antoine Fuqua,Bruce Willis,Tom Skerritt,Cole Hauser,70000000.0,-26573039,6.6,0
521,Killers ,Robert Luketic,Tom Selleck,Lisa Ann Walter,Catherine O'Hara,75000000.0,-27999515,5.4,0
522,The Man from U.N.C.L.E. ,Guy Ritchie,Henry Cavill,Elizabeth Debicki,Christian Berkel,75000000.0,-29565557,7.3,0
523,Spanglish ,James L. Brooks,Adam Sandler,Paz Vega,Sarah Steele,80000000.0,-37955679,6.5,0
524,Monster House ,Gil Kenan,Steve Buscemi,Jon Heder,Catherine O'Hara,75000000.0,-1338990,6.6,0
525,Bandits ,Barry Levinson,Bruce Willis,Brían F. O'Byrne,Azura Skye,80000000.0,-38476729,6.6,0
526,First Knight ,Jerry Zucker,Julia Ormond,Ben Cross,John Gielgud,55000000.0,-17399565,5.9,0
527,Anna and the King ,Andy Tennant,Bai Ling,Geoffrey Palmer,Randall Duk Kim,75000000.0,-35748872,6.7,0
528,Immortals ,Tarsem Singh,Henry Cavill,Daniel Sharman,Steve Byers,75000000.0,8503161,6.1,1
529,Hostage ,Florent-Emilio Siri,Jimmy Bennett,Bruce Willis,Ransford Doherty,52000000.0,-17363557,6.6,0
530,Titan A.E. ,Don Bluth,Matt Damon,Janeane Garofalo,Nathan Lane,75000000.0,-52248021,6.6,0
531,Hollywood Homicide ,Ron Shelton,Harrison Ford,Bruce Greenwood,Lena Olin,75000000.0,-44986654,5.3,0
532,Soldier ,Paul W.S. Anderson,Connie Nielsen,Sean Pertwee,Jason Scott Lee,75000000.0,-60432117,6.0,0
533,Monkeybone ,Henry Selick,Brendan Fraser,Bridget Fonda,Megan Mullally,75000000.0,-69590483,4.7,0
534,Flight of the Phoenix ,John Moore,Dennis Quaid,Tony Curran,Miranda Otto,45000000.0,-23990820,6.1,0
535,Unbreakable ,M. Night Shyamalan,Robin Wright,Bruce Willis,Michael Kelly,75000000.0,19999143,7.2,1
536,Minions ,Kyle Balda,Steve Carell,Jon Hamm,Steve Coogan,74000000.0,262029560,6.4,1
537,Sucker Punch ,Zack Snyder,Jon Hamm,Abbie Cornish,Scott Glenn,82000000.0,-45618284,6.1,0
538,Snake Eyes ,Brian De Palma,Nicolas Cage,Mike Starr,John Heard,69000000.0,-13414611,5.9,0
539,Sphere ,Barry Levinson,Peter Coyote,James Pickens Jr.,Huey Lewis,75000000.0,-38023633,6.0,0
540,The Angry Birds Movie ,Clay Kaytis,Peter Dinklage,Josh Gad,Keegan-Michael Key,73000000.0,34225164,6.3,1
541,Fool's Gold ,Andy Tennant,Matthew McConaughey,Ray Winstone,Alexis Dziena,70000000.0,224196,5.6,1
542,Funny People ,Judd Apatow,Adam Sandler,RZA,Maude Apatow,75000000.0,-23185810,6.4,0
543,The Kingdom ,Peter Berg,Jennifer Garner,Frances Fisher,Tim McGraw,70000000.0,-22543550,7.1,0
544,Talladega Nights: The Ballad of Ricky Bobby ,Adam McKay,Will Ferrell,Leslie Bibb,Gary Cole,73000000.0,75213377,6.6,1
545,Dr. Dolittle 2 ,Steve Carr,Raven-Symoné,Jeffrey Jones,Kevin Pollak,72000000.0,40950721,4.6,1
546,Braveheart ,Mel Gibson,Mhairi Calvey,Patrick McGoohan,James Robinson,72000000.0,3600000,8.4,1
547,Jarhead ,Sam Mendes,Jake Gyllenhaal,Brian Geraghty,James Morrison,70000000.0,-7352460,7.1,0
548,The Simpsons Movie ,David Silverman,Albert Brooks,Yeardley Smith,Marcia Wallace,75000000.0,108132370,7.4,1
549,The Majestic ,Frank Darabont,Martin Landau,Hal Holbrook,Jeffrey DeMunn,72000000.0,-44203958,6.9,0
550,Driven ,Renny Harlin,Sylvester Stallone,Estella Warren,Cristián de la Fuente,72000000.0,-39383131,4.5,0
551,Two Brothers ,Jean-Jacques Annaud,David Gant,Jean-Claude Dreyfus,Oanh Nguyen,59660000.0,-40712370,7.1,0
552,The Village ,M. Night Shyamalan,Bryce Dallas Howard,Judy Greer,William Hurt,60000000.0,54195633,6.5,1
553,Doctor Dolittle ,Betty Thomas,Oliver Platt,Raven-Symoné,Peter Boyle,71500000.0,72656464,5.3,1
554,Signs ,M. Night Shyamalan,Rory Culkin,Merritt Wever,Cherry Jones,72000000.0,155965690,6.7,1
555,Shrek 2 ,Andrew Adamson,Rupert Everett,Jennifer Saunders,Conrad Vernon,150000000.0,286471036,7.2,1
556,Cars ,John Lasseter,John Ratzenberger,Cheech Marin,George Carlin,120000000.0,124052771,7.2,1
557,Runaway Bride ,Garry Marshall,Julia Roberts,Christopher Meloni,Hector Elizondo,70000000.0,82149590,5.5,1
558,xXx ,Rob Cohen,Vin Diesel,Eve,Leila Arcieri,70000000.0,71204016,5.8,1
559,The SpongeBob Movie: Sponge Out of Water ,Paul Tibbitt,Tim Conway,Billy West,Eddie Deezen,74000000.0,88495848,6.0,1
560,Ransom ,Ron Howard,Lili Taylor,Delroy Lindo,Rene Russo,80000000.0,56448821,6.6,1
561,Inglourious Basterds ,Quentin Tarantino,Michael Fassbender,Brad Pitt,Christoph Waltz,75000000.0,45523073,8.3,1
562,Hook ,Steven Spielberg,Robin Williams,Julia Roberts,Bob Hoskins,70000000.0,49654900,6.7,1
563,Hercules ,Brett Ratner,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,100000000.0,-27339971,6.0,0
564,Die Hard 2 ,Renny Harlin,Bruce Willis,John Amos,Franco Nero,70000000.0,47541000,7.1,1
565,S.W.A.T. ,Clark Johnson,Jeremy Renner,Josh Charles,LL Cool J,80000000.0,36643346,6.0,1
566,Vanilla Sky ,Cameron Crowe,Tom Cruise,Ivana Milicevic,Noah Taylor,68000000.0,32614858,6.9,1
567,Lady in the Water ,M. Night Shyamalan,Bryce Dallas Howard,Freddy Rodríguez,Bob Balaban,70000000.0,-27727253,5.6,0
568,AVP: Alien vs. Predator ,Paul W.S. Anderson,Sanaa Lathan,Colin Salmon,Raoul Bova,60000000.0,20281096,5.6,1
569,Alvin and the Chipmunks: The Squeakquel ,Betty Thomas,Amy Poehler,Bridgit Mendler,Jesse McCartney,75000000.0,144613391,4.5,1
570,We Were Soldiers ,Randall Wallace,Jon Hamm,Marc Blucas,Chris Klein,75000000.0,3120196,7.1,1
571,Olympus Has Fallen ,Antoine Fuqua,Gerard Butler,Morgan Freeman,Radha Mitchell,70000000.0,28895417,6.5,1
572,Star Trek: Insurrection ,Jonathan Frakes,LeVar Burton,Jonathan Frakes,Michael Dorn,58000000.0,12117571,6.4,1
573,Battle Los Angeles ,Jonathan Liebesman,Noel Fisher,Jim Parrack,Ramon Rodriguez,70000000.0,13552429,5.8,1
574,Big Fish ,Tim Burton,Steve Buscemi,Alison Lohman,Albert Finney,70000000.0,-3742998,8.0,0
575,Wolf ,Mike Nichols,David Hyde Pierce,Peter Gerety,Ron Rifkin,70000000.0,-4988000,6.2,0
576,War Horse ,Steven Spielberg,Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan,66000000.0,13883359,7.2,1
577,The Monuments Men ,George Clooney,Bill Murray,Matt Damon,Bob Balaban,70000000.0,8031620,6.1,1
578,The Abyss ,James Cameron,Michael Biehn,Todd Graff,Mary Elizabeth Mastrantonio,69500000.0,-15278000,7.6,0
579,Wall Street: Money Never Sleeps ,Oliver Stone,Frank Langella,Austin Pendleton,John Buffalo Mailer,70000000.0,-17525384,6.3,0
580,Dracula Untold ,Gary Shore,Dominic Cooper,Sarah Gadon,Zach McGowan,70000000.0,-14057170,6.3,0
581,The Siege ,Edward Zwick,Denzel Washington,Bruce Willis,Mark Valley,70000000.0,-29067628,6.3,0
582,Stardust ,Matthew Vaughn,Henry Cavill,David Kelly,Nathaniel Parker,70000000.0,-31654597,7.7,0
583,Seven Years in Tibet ,Jean-Jacques Annaud,Brad Pitt,Mako,Victor Wong,70000000.0,-32098491,7.0,0
584,The Dilemma ,Ron Howard,Channing Tatum,Clint Howard,Chelcie Ross,70000000.0,-21569645,5.3,0
585,Bad Company ,Joel Schumacher,Anthony Hopkins,Brooke Smith,Garcelle Beauvais,70000000.0,-39842984,5.6,0
586,Doom ,Andrzej Bartkowiak,Dwayne Johnson,Ben Daniels,Dexter Fletcher,60000000.0,-31968750,5.2,0
587,I Spy ,Betty Thomas,Gary Cole,Phill Lewis,Tate Taylor,70000000.0,-36894400,5.4,0
588,Underworld: Awakening ,Måns Mårlind,Theo James,Stephen Rea,Sandrine Holt,70000000.0,-7678961,6.4,0
589,Rock of Ages ,Adam Shankman,James Martin Kelly,Shane Hartline,Celina Beach,75000000.0,-36490658,5.9,0
590,Hart's War ,Gregory Hoblit,Bruce Willis,Cole Hauser,Rory Cochrane,60000000.0,-40923185,6.3,0
591,Killer Elite ,Gary McKendry,Jason Statham,Robert De Niro,Ben Mendelsohn,35000000.0,-9906393,6.5,0
592,Rollerball ,John McTiernan,LL Cool J,Chris Klein,Andrew Bryniarski,70000000.0,-51009458,3.0,0
593,Ballistic: Ecks vs. Sever ,Wych Kaosayananda,Talisa Soto,Sandrine Holt,Gregg Henry,70000000.0,-55705158,3.6,0
594,Hard Rain ,Mikael Salomon,Morgan Freeman,Minnie Driver,Randy Quaid,70000000.0,-50180506,5.8,0
595,Osmosis Jones ,Bobby Farrelly,Ron Howard,Brandy Norwood,David Hyde Pierce,70000000.0,-56403089,6.2,0
596,Blackhat ,Michael Mann,Chris Hemsworth,Archie Kao,Brandon Molale,70000000.0,-62902875,5.4,0
597,Sky Captain and the World of Tomorrow ,Kerry Conran,Angelina Jolie Pitt,Laurence Olivier,Bai Ling,70000000.0,-32239920,6.1,0
598,Basic Instinct 2 ,Michael Caton-Jones,Charlotte Rampling,Indira Varma,Neil Maskell,70000000.0,-64148812,4.2,0
599,Escape Plan ,Mikael Håfström,Sylvester Stallone,50 Cent,Matt Gerald,50000000.0,-24878709,6.7,0
600,The Legend of Hercules ,Renny Harlin,Roxanne McKee,Luke Newberry,Gaia Weiss,70000000.0,-51178721,4.2,0
601,The Sum of All Fears ,Phil Alden Robinson,Morgan Freeman,Bruce McGill,Philip Baker Hall,68000000.0,50471320,6.4,1
602,The Twilight Saga: Eclipse ,David Slade,Robert Pattinson,Kristen Stewart,Anna Kendrick,68000000.0,232523113,4.9,1
603,The Score ,Frank Oz,Robert De Niro,Marlon Brando,Gary Farmer,68000000.0,3069884,6.8,1
604,Despicable Me ,Pierre Coffin,Steve Carell,Miranda Cosgrove,Jack McBrayer,69000000.0,182501645,7.7,1
605,Money Train ,Joseph Ruben,Vincent Pastore,Robert Blake,Aida Turturro,68000000.0,-32675768,5.6,0
606,Ted 2 ,Seth MacFarlane,Liam Neeson,Morgan Freeman,Seth MacFarlane,68000000.0,13257500,6.4,1
607,Agora ,Alejandro Amenábar,Max Minghella,Ashraf Barhom,Rupert Evans,70000000.0,-69382160,7.2,0
608,Mystery Men ,Kinka Usher,Janeane Garofalo,Wes Studi,Eddie Izzard,65000000.0,-35344410,6.0,0
609,Hall Pass ,Bobby Farrelly,Jenna Fischer,Larry Joe Campbell,Stephen Merchant,36000000.0,9045037,5.9,1
610,The Insider ,Michael Mann,Al Pacino,Rip Torn,Debi Mazar,68000000.0,-39034803,7.9,0
611,Body of Lies ,Ridley Scott,Leonardo DiCaprio,Simon McBurney,Michael Gaston,70000000.0,-30619558,7.1,0
612,Abraham Lincoln: Vampire Hunter ,Timur Bekmambetov,Rufus Sewell,Dominic Cooper,Benjamin Walker,69000000.0,-31483987,5.9,0
613,Entrapment ,Jon Amiel,Will Patton,Kevin McNally,Maury Chaykin,66000000.0,21704396,6.2,1
614,The X Files ,Rob Bowman,Martin Landau,Mitch Pileggi,Jeffrey DeMunn,66000000.0,17892374,7.0,1
615,The Last Legion ,Doug Lefler,Colin Firth,Nonso Anozie,Owen Teale,35000000.0,-29067940,5.4,0
616,Saving Private Ryan ,Steven Spielberg,Tom Hanks,Vin Diesel,Matt Damon,70000000.0,146119491,8.6,1
617,Need for Speed ,Scott Waugh,Rami Malek,Dominic Cooper,Ramon Rodriguez,66000000.0,-22431493,6.5,0
618,What Women Want ,Nancy Meyers,Judy Greer,Lisa Edelstein,Loretta Devine,70000000.0,112805123,6.4,1
619,Ice Age ,Chris Wedge,Goran Visnjic,Stephen Root,Denis Leary,59000000.0,117387405,7.6,1
620,Dreamcatcher ,Lawrence Kasdan,Morgan Freeman,Michael O'Neill,Reece Thompson,68000000.0,-34314732,5.5,0
621,Lincoln ,Steven Spielberg,Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill,65000000.0,117204440,7.4,1
622,The Matrix ,Lana Wachowski,Keanu Reeves,Marcus Chong,Gloria Foster,63000000.0,108383253,8.7,1
623,Apollo 13 ,Ron Howard,Tom Hanks,Miko Hughes,Kathleen Quinlan,62000000.0,110071312,7.6,1
624,Total Recall ,Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,65000000.0,54412921,7.5,1
625,The Santa Clause 2 ,Michael Lembeck,Judge Reinhold,Aisha Tyler,Eric Lloyd,60000000.0,79225854,5.5,1
626,Les Misérables ,Tom Hooper,Hugh Jackman,Eddie Redmayne,Anne Hathaway,61000000.0,87775460,7.6,1
627,You've Got Mail ,Nora Ephron,Tom Hanks,Jean Stapleton,Dave Chappelle,65000000.0,50731542,6.5,1
628,Step Brothers ,Adam McKay,Will Ferrell,Adam Scott,Andrea Savage,65000000.0,35468793,6.9,1
629,The Mask of Zorro ,Martin Campbell,Anthony Hopkins,Tony Amendola,Stuart Wilson,65000000.0,28771072,6.7,1
630,Due Date ,Todd Phillips,Robert Downey Jr.,RZA,Matt Walsh,65000000.0,35448498,6.6,1
631,Unbroken ,Angelina Jolie Pitt,Finn Wittrock,Jack O'Connell,Alex Russell,65000000.0,50603980,7.2,1
632,Space Cowboys ,Clint Eastwood,Clint Eastwood,Courtney B. Vance,William Devane,65000000.0,25454043,6.4,1
633,Cliffhanger ,Renny Harlin,Sylvester Stallone,Leon,Janine Turner,70000000.0,14049211,6.4,1
634,Broken Arrow ,John Woo,Delroy Lindo,Samantha Mathis,Bob Gunton,50000000.0,20450000,6.0,1
635,The Kid ,Jon Turteltaub,Bruce Willis,Lily Tomlin,Daniel von Bargen,60000000.0,9688384,6.1,1
636,World Trade Center ,Oliver Stone,Nicolas Cage,Jay Hernandez,Armando Riesco,63000000.0,7236496,6.0,1
637,Mona Lisa Smile ,Mike Newell,Julia Roberts,Kirsten Dunst,Marian Seldes,65000000.0,-1304240,6.4,0
638,The Dictator ,Larry Charles,Sayed Badreya,Aasif Mandvi,Horatio Sanz,65000000.0,-5382932,6.4,0
639,Eyes Wide Shut ,Stanley Kubrick,Tom Cruise,Vinessa Shaw,Sydney Pollack,65000000.0,-9362320,7.3,0
640,Annie ,Will Gluck,Quvenzhané Wallis,Dorian Missick,David Zayas,65000000.0,20911262,5.2,1
641,Focus ,Glenn Ficarra,Will Smith,Adrian Martinez,Gerald McRaney,50100000.0,3746915,6.6,1
642,This Means War ,McG,Tom Hardy,Abigail Spencer,Warren Christie,65000000.0,-10241539,6.3,0
643,Blade: Trinity ,David S. Goyer,Ryan Reynolds,Natasha Lyonne,John Michael Higgins,65000000.0,-12602611,5.9,0
644,Primary Colors ,Mike Nichols,Maura Tierney,Adrian Lester,Paul Guilfoyle,65000000.0,-26033943,6.7,0
645,Resident Evil: Retribution ,Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Bingbing Li,65000000.0,-22654469,5.4,0
646,Death Race ,Paul W.S. Anderson,Jason Statham,Max Ryan,Joan Allen,45000000.0,-8935090,6.4,0
647,The Long Kiss Goodnight ,Renny Harlin,Melina Kanakaredes,Craig Bierko,Yvonne Zima,65000000.0,-31671949,6.7,0
648,Proof of Life ,Taylor Hackford,Pamela Reed,Alun Armstrong,Michael Kitchen,65000000.0,-32401069,6.2,0
649,Zathura: A Space Adventure ,Jon Favreau,Kristen Stewart,Josh Hutcherson,Jonah Bobo,65000000.0,-36954460,6.1,0
650,Fight Club ,David Fincher,Brad Pitt,Meat Loaf,Eugenie Bondurant,63000000.0,-25976605,8.8,0
651,We Are Marshall ,McG,Matthew McConaughey,Kimberly Williams-Paisley,Brian Geraghty,65000000.0,-21467706,7.1,0
652,Hudson Hawk ,Michael Lehmann,Bruce Willis,James Coburn,Richard E. Grant,70000000.0,-52781920,5.7,0
653,Lucky Numbers ,Nora Ephron,Michael Rapaport,Michael Moore,Richard Schiff,65000000.0,-54985766,5.0,0
654,"I, Frankenstein ",Stuart Beattie,Caitlin Stasey,Kevin Grevioux,Miranda Otto,65000000.0,-45940982,5.1,0
655,Oliver Twist ,Roman Polanski,Ian McNeice,Barney Clark,Tony Noble,50000000.0,-48012713,6.9,0
656,Elektra ,Rob Bowman,Jennifer Garner,Cary-Hiroyuki Tagawa,Goran Visnjic,43000000.0,-18592056,4.8,0
657,Sin City: A Dame to Kill For ,Frank Miller,Joseph Gordon-Levitt,Bruce Willis,Eva Green,65000000.0,-51249444,6.5,0
658,Random Hearts ,Sydney Pollack,Harrison Ford,Kristin Scott Thomas,Bill Cobbs,64000000.0,-32945076,5.1,0
659,Everest ,Baltasar Kormákur,Michael Kelly,Martin Henderson,Tom Goodman-Hill,55000000.0,-11752860,7.1,0
660,Perfume: The Story of a Murderer ,Tom Tykwer,Michael Smiley,David Calder,Simon Chandler,50000000.0,-47791061,7.5,0
661,Austin Powers in Goldmember ,Jay Roach,Verne Troyer,Josh Zuckerman,Robert Wagner,63000000.0,150079163,6.2,1
662,Astro Boy ,David Bowers,Nicolas Cage,Charlize Theron,Dee Bradley Baker,65000000.0,-45451936,6.3,0
663,Jurassic Park ,Steven Spielberg,Wayne Knight,Ariana Richards,Bob Peck,63000000.0,293784000,8.1,1
664,Wyatt Earp ,Lawrence Kasdan,Dennis Quaid,Catherine O'Hara,Isabella Rossellini,63000000.0,-37948000,6.6,0
665,Clear and Present Danger ,Phillip Noyce,Harrison Ford,Dean Jones,Raymond Cruz,62000000.0,60012710,6.9,1
666,Dragon Blade ,Daniel Lee,Si Won Choi,Peng Lin,Sung-jun Yoo,65000000.0,-64927587,6.1,0
667,Littleman ,Keenen Ivory Wayans,Chazz Palminteri,Brittany Daniel,John Witherspoon,64000000.0,-5744713,4.3,0
668,U-571 ,Jonathan Mostow,Matthew McConaughey,Thomas Kretschmann,David Keith,62000000.0,15086030,6.6,1
669,The American President ,Rob Reiner,Shawna Waldron,Samantha Mathis,Wendie Malick,62000000.0,3000000,6.8,1
670,The Love Guru ,Marco Schnabel,Justin Timberlake,Romany Malco,Verne Troyer,62000000.0,-29821223,3.8,0
671,3000 Miles to Graceland ,Demian Lichtenstein,Jon Lovitz,Bokeem Woodbine,Ice-T,42000000.0,-26261368,5.9,0
672,The Hateful Eight ,Quentin Tarantino,Craig Stark,Jennifer Jason Leigh,Zoë Bell,44000000.0,10116191,7.9,1
673,Blades of Glory ,Josh Gordon,Will Ferrell,Amy Poehler,Jon Heder,61000000.0,57153533,6.3,1
674,Hop ,Tim Hill,Gary Cole,Elizabeth Perkins,Chelsea Handler,63000000.0,45012170,5.5,1
675,300 ,Zack Snyder,Gerard Butler,Michael Fassbender,Vincent Regan,65000000.0,145592590,7.7,1
676,Meet the Fockers ,Jay Roach,Robert De Niro,Blythe Danner,Teri Polo,80000000.0,199167575,6.3,1
677,Marley & Me ,David Frankel,Eric Dane,Kathleen Turner,Haley Bennett,60000000.0,83151473,7.1,1
678,The Green Mile ,Frank Darabont,Tom Hanks,Jeffrey DeMunn,Michael Jeter,60000000.0,76801374,8.5,1
679,Chicken Little ,Mark Dindal,Catherine O'Hara,Fred Willard,Amy Sedaris,150000000.0,-14618493,5.8,0
680,Gone Girl ,David Fincher,Patrick Fugit,Sela Ward,Emily Ratajkowski,61000000.0,106735396,8.1,1
681,The Bourne Identity ,Doug Liman,Matt Damon,Josh Hamilton,Nicky Naudé,60000000.0,61468960,7.9,1
682,GoldenEye ,Martin Campbell,Izabella Scorupco,Joe Don Baker,Tchéky Karyo,58000000.0,48635996,7.2,1
683,The General's Daughter ,Simon West,Daniel von Bargen,Timothy Hutton,Clarence Williams III,95000000.0,7678089,6.3,1
684,The Truman Show ,Peter Weir,Natascha McElhone,Noah Emmerich,Peter Krause,60000000.0,65603360,8.1,1
685,The Prince of Egypt ,Brenda Chapman,Martin Short,Aria Noelle Curzon,Eden Riegel,70000000.0,31217900,7.0,1
686,Daddy Day Care ,Steve Carr,Anjelica Huston,Lisa Edelstein,Jeff Garlin,60000000.0,44148781,5.5,1
687,2 Guns ,Baltasar Kormákur,Denzel Washington,Patrick Fischler,Fred Ward,61000000.0,14573300,6.7,1
688,Cats & Dogs ,Lawrence Guterman,Carol Ann Susi,Elizabeth Perkins,Miriam Margolyes,60000000.0,33375151,5.2,1
689,The Italian Job ,F. Gary Gray,Jason Statham,Charlize Theron,Jimmy Shubert,60000000.0,46126012,7.0,1
690,Two Weeks Notice ,Marc Lawrence,Dorian Missick,Alicia Witt,Dana Ivey,60000000.0,33307796,6.1,1
691,Antz ,Eric Darnell,Sylvester Stallone,Woody Allen,Anne Bancroft,105000000.0,-14353446,6.6,0
692,Couples Retreat ,Peter Billingsley,Jon Favreau,Kristin Davis,Tasha Smith,60000000.0,49176215,5.5,1
693,Days of Thunder ,Tony Scott,Tom Cruise,Robert Duvall,Randy Quaid,60000000.0,22670733,5.9,1
694,Cheaper by the Dozen 2 ,Adam Shankman,Taylor Lautner,Tom Welling,Alyson Stoner,60000000.0,22569532,5.4,1
695,The Scorch Trials ,Wes Ball,Ki Hong Lee,Lili Taylor,Rosa Salazar,61000000.0,20687587,6.4,1
696,Eat Pray Love ,Ryan Murphy,James Franco,Julia Roberts,Billy Crudup,60000000.0,20574010,5.7,1
697,The Family Man ,Brett Ratner,Nicolas Cage,Don Cheadle,Amber Valletta,60000000.0,15764085,6.7,1
698,RED ,Robert Schwentke,Bruce Willis,Morgan Freeman,Jaqueline Fleming,58000000.0,32356857,7.1,1
699,Any Given Sunday ,Oliver Stone,Al Pacino,Dennis Quaid,LL Cool J,55000000.0,20530832,6.8,1
700,The Horse Whisperer ,Robert Redford,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,60000000.0,15370763,6.5,1
701,Collateral ,Michael Mann,Tom Cruise,Jada Pinkett Smith,Debi Mazar,65000000.0,35003492,7.6,1
702,The Scorpion King ,Chuck Russell,Dwayne Johnson,Roger Rees,Bernard Hill,60000000.0,30341670,5.5,1
703,Ladder 49 ,Jay Russell,Billy Burke,Jay Hernandez,Jacinda Barrett,55000000.0,19540762,6.5,1
704,Jack Reacher ,Christopher McQuarrie,Tom Cruise,Robert Duvall,David Oyelowo,60000000.0,20033643,7.0,1
705,Deep Blue Sea ,Renny Harlin,LL Cool J,Michael Rapaport,Saffron Burrows,60000000.0,13648142,5.8,1
706,This Is It ,Kenny Ortega,Misha Gabriel Hamilton,Mekia Cox,Judith Hill,60000000.0,11844424,7.3,1
707,Contagion ,Steven Soderbergh,Matt Damon,Monique Gabriela Curnen,Griffin Kane,60000000.0,15638743,6.6,1
708,Kangaroo Jack ,David McNally,Estella Warren,Dyan Cannon,Bill Hunter,60000000.0,6734992,4.4,1
709,Coraline ,Henry Selick,Jennifer Saunders,Dawn French,John Hodgman,60000000.0,15280058,7.7,1
710,The Happening ,M. Night Shyamalan,Zooey Deschanel,Alan Ruck,Kristen Connolly,48000000.0,16505912,5.0,1
711,Man on Fire ,Tony Scott,Denzel Washington,Radha Mitchell,Giancarlo Giannini,70000000.0,7862546,7.7,1
712,The Shaggy Dog ,Brian Robbins,Robert Downey Jr.,Joel David Moore,Kristin Davis,50000000.0,11112916,4.4,1
713,Starsky & Hutch ,Todd Phillips,Snoop Dogg,Carmen Electra,Fred Williamson,60000000.0,28200225,6.1,1
714,Jingle All the Way ,Brian Levant,Jim Belushi,Harvey Korman,Jake Lloyd,60000000.0,573641,5.4,1
715,Hellboy ,Guillermo del Toro,James Babson,Rupert Evans,Brian Steele,66000000.0,-6964896,6.8,0
716,A Civil Action ,Steven Zaillian,Robert Duvall,Kathleen Quinlan,Sydney Pollack,60000000.0,-3297099,6.5,0
717,ParaNorman ,Chris Butler,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,60000000.0,-4005443,7.0,0
718,The Jackal ,Michael Caton-Jones,J.K. Simmons,Bruce Willis,Sophie Okonedo,60000000.0,-5089440,6.3,0
719,Paycheck ,John Woo,Ivana Milicevic,Joe Morton,Callum Rennie,60000000.0,-6210687,6.3,0
720,Up Close & Personal ,Jon Avnet,Joe Mantegna,Stockard Channing,Raymond Cruz,60000000.0,-8954199,6.1,0
721,The Tale of Despereaux ,Sam Fell,Emma Watson,Matthew Broderick,Frank Langella,60000000.0,-9181250,6.1,0
722,The Tuxedo ,Kevin Donovan,Romany Malco,Debi Mazar,Ritchie Coster,60000000.0,-9810821,5.3,0
723,Under Siege 2: Dark Territory ,Geoff Murphy,Peter Greene,Brenda Bakke,Patrick Kilpatrick,60000000.0,-9975917,5.4,0
724,Jack Ryan: Shadow Recruit ,Kenneth Branagh,Colm Feore,Nonso Anozie,Gemma Chan,60000000.0,-9450893,6.2,0
725,Joy ,David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,60000000.0,-3556518,6.6,0
726,London Has Fallen ,Babak Najafi,Gerard Butler,Radha Mitchell,Julian Kostov,60000000.0,2401264,5.9,1
727,Alien: Resurrection ,Jean-Pierre Jeunet,Gary Dourdan,Michael Wincott,Raymond Cruz,75000000.0,-27251390,6.3,0
728,Shooter ,Antoine Fuqua,Tate Donovan,Ned Beatty,Louis Ferreira,61000000.0,-14024817,7.2,0
729,The Boxtrolls ,Graham Annable,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan,60000000.0,-9192361,6.8,0
730,Practical Magic ,Griffin Dunne,Goran Visnjic,Dianne Wiest,Stockard Channing,48000000.0,-1388796,6.1,0
731,The Lego Movie ,Phil Lord,Morgan Freeman,Will Ferrell,Alison Brie,60000000.0,197756197,7.8,1
732,Miss Congeniality 2: Armed and Fabulous ,John Pasquin,Eileen Brennan,Diedrich Bader,Treat Williams,45000000.0,3472213,5.0,1
733,Reign of Fire ,Rob Bowman,Christian Bale,Gerard Butler,Matthew McConaughey,60000000.0,-16939434,6.2,0
734,Gangster Squad ,Ruben Fleischer,Ryan Gosling,Brandon Molale,Wade Williams,60000000.0,-14003282,6.7,0
735,Year One ,Harold Ramis,Olivia Wilde,Oliver Platt,Xander Berkeley,60000000.0,-16662721,4.9,0
736,Invictus ,Clint Eastwood,Matt Damon,Morgan Freeman,Leleti Khumalo,60000000.0,-22520222,7.4,0
737,Duplicity ,Tony Gilroy,Julia Roberts,Tom Wilkinson,Denis O'Hare,60000000.0,-19440070,6.2,0
738,My Favorite Martian ,Donald Petrie,Steven Anthony Lawrence,Ray Walston,Michael Lerner,65000000.0,-28169943,4.9,0
739,The Sentinel ,Clark Johnson,Blair Brown,David Rasche,Martin Donovan,60000000.0,-23720770,6.1,0
740,Planet 51 ,Jorge Blanco,Dwayne Johnson,Gary Oldman,James Corden,70000000.0,-27805940,6.1,0
741,Star Trek: Nemesis ,Stuart Baird,Tom Hardy,LeVar Burton,Jonathan Frakes,60000000.0,-16880121,6.4,0
742,Intolerable Cruelty ,Joel Coen,Cedric the Entertainer,Paul Adelstein,Julia Duffy,60000000.0,-24903810,6.3,0
743,Edge of Darkness ,Martin Campbell,Bojana Novakovic,Ray Winstone,Denis O'Hare,80000000.0,-36709023,6.6,0
