,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
1118,,,,,,,,,,,,,,,Obba Babatundé,,clone|cloning|construction|same actor playing two characters simultaneously on screen|year 1996,,,,,,,,,,,
1119,,,,,,,,,,,,,,,Tim Meadows,,alien|attic|boyfriend|mind control|nintendo ds,,,,,,,,,,,
1120,,,,,,,,,,,,,,,Nels Lennarson,,nevada|pledge|police|porcupine|search,,,,,,,,,,,
1121,,,,,,,,,,,,,,,Matthew Broderick,,accountant|money|opening night|scheme|swedish,,,,,,,,,,,
1122,,,,,,,,,,,,,,,Rakie Ayola,,brutality|dark humor|female antagonist|female warrior|post apocalypse,,,,,,,,,,,
1123,,,,,,,,,,,,,,,Kristy Swanson,,ghost|new york city|phantom|skull|superhero,,,,,,,,,,,
1124,,,,,,,,,,,,,,,Sam Shepard,,1940s|cowboy|mexico|railway station|texas,,,,,,,,,,,
1125,,,,,,,,,,,,,,,Joan Allen,,courtship|election|paranoia|president|quaker,,,,,,,,,,,
1126,,,,,,,,,,,,,,,Timothy Hutton,,british prime minister|death|island|memoir|writer,,,,,,,,,,,
1127,,,,,,,,,,,,,,,Wes Studi,,creature feature|hijacker|ocean|ship|shot in the leg,,,,,,,,,,,
1128,,,,,,,,,,,,,,,Laz Alonso,,boy|german soldier|partisan|trapped|village,,,,,,,,,,,
1129,,,,,,,,,,,,,,,Man Li,,china|chrysanthemum|emperor|empress|prince,,,,,,,,,,,
1130,,,,,,,,,,,,,,,James With,,deaf|hitman|nightclub|pickpocket|rules of profession,,,,,,,,,,,
1131,,,,,,,,,,,,,,,Omar Epps,,airport|fbi agent|person in a car trunk|suitcase|suitcase bomb,,,,,,,,,,,
1132,,,,,,,,,,,,,,,Unax Ugalde,,19th century|colombia|love|marriage|widow,,,,,,,,,,,
1133,,,,,,,,,,,,,,,Céline Sallette,,france|living dead|serial killer|small town|supernatural,,,,,,,,,,,
1134,,,,,,,,,,,,,,,Nicholas Turturro,,american president|assassin|conspiracy|president|white house,,,,,,,,,,,
1135,,,,,,,,,,,,,,,Togo Igawa,,assassin|chinese|conspiracy|gadget|premier,,,,,,,,,,,
1136,,,,,,,,,,,,,,,Harvey Fierstein,,femme fatale|food|pun|supermarket|troubled production,,,,,,,,,,,
1137,,,,,,,,,,,,,,,Tate Donovan,,1970s|cia|f word|u.s. embassy|year 1979,,,,,,,,,,,
1138,,,,,,,,,,,,,,,Sela Ward,,hospital|on the run|one armed man|surgeon|u.s. marshal,,,,,,,,,,,
1139,,,,,,,,,,,,,,,Peter Greene,,bounty hunter|death|murder|police officer|reporter,,,,,,,,,,,
1140,,,,,,,,,,,,,,,Minnie Driver,,boy|guard|kicked in the crotch|prank|sexual abuse,,,,,,,,,,,
1141,,,,,,,,,,,,,,,Martin Kove,,1980s|mission|prison|rambo|vietnam,,,,,,,,,,,
1142,,,,,,,,,,,,,,,Anne Heche,,breasts|mafia|sex scene|temple|woods,,,,,,,,,,,
1143,,,,,,,,,,,,,,,Cliff Edwards,,boy|conscience|fairy|jiminy cricket|pinocchio,,,,,,,,,,,
1144,,,,,,,,,,,,,,,Isabelle Huppert,,1890s|hired gun|immigrant|johnson county war|sheriff,,,,,,,,,,,
1145,,,,,,,,,,,,,,,Derek Jacobi,,death|feud|forbidden love|vampire|werewolf,,,,,,,,,,,
1146,,,,,,,,,,,,,,,Daniel Mays,,assistant|experiment|frankenstein|medical student|scientist,,,,,,,,,,,
1147,,,,,,,,,,,,,,,Michael Nouri,,basketball|mentor|new york|school|writing,,,,,,,,,,,
1148,,,,,,,,,,,,,,,Elizabeth Perkins,,12 step program|box office hit|car accident|vomiting|wedding,,,,,,,,,,,
1149,,,,,,,,,,,,,,,Bob Hoskins,,collar|dog|fight|fighting|piano,,,,,,,,,,,
1150,,,,,,,,,,,,,,,Chelsea Bond,,female removes her clothes|roommate|voyeur|voyeurism|wedding,,,,,,,,,,,
1151,,,,,,,,,,,,,,,Wilford Brimley,,bar|fbi|law|law firm|lawyer,,,,,,,,,,,
1152,,,,,,,,,,,,,,,Valerie Tian,,brother brother relationship|death of brother|ghost|seeing dead people|talking with the dead,,,,,,,,,,,
1153,,,,,,,,,,,,,,,Mini Anden,,apprentice|disobeying orders|gas station|hitman|nightclub,,,,,,,,,,,
1154,,,,,,,,,,,,,,,Rob Riggle,,narcotics|parody|police|remake|undercover cop,,,,,,,,,,,
1155,,,,,,,,,,,,,,,Dylan Moran,,actress|bookstore|friend|kiss|love,,,,,,,,,,,
1156,,,,,,,,,,,,,,,Julia Sawalha,,chicken|escape|farm|freedom|rooster,,,,,,,,,,,
1157,,,,,,,,,,,,,,,Debra Messing,,bride|friend|honeymoon|insurance|insurance company,,,,,,,,,,,
1158,,,,,,,,,,,,,,,Geoffrey Holder,,advertising|battle of the sexes|dating|one word title|womanizer,,,,,,,,,,,
1159,,,,,,,,,,,,,,,Demián Bichir,,drug lord|fbi|fbi agent|hospital|shot in the crotch,,,,,,,,,,,
1160,,,,,,,,,,,,,,,Roddy McDowall,,cleopatra|egypt|epic|queen|roman empire,,,,,,,,,,,
1161,,,,,,,,,,,,,,,Charice,,claim in title|high school|mixed martial arts|ultimate fighting championship|underdog,,,,,,,,,,,
1162,,,,,,,,,,,,,,,Bruce Davison,,defense lawyer|lawyer|marine|murder|villager,,,,,,,,,,,
1163,,,,,,,,,,,,,,,Mimi Rogers,,columbia university|lecture|marriage|professor|sex,,,,,,,,,,,
1164,,,,,,,,,,,,,,,David Eigenberg,,car accident|death of wife|mothman|point pleasant west virginia|urban legend,,,,,,,,,,,
1165,,,,,,,,,,,,,,,Slash,,austrian|fame|fashion|gay lead character|mockumentary,,,,,,,,,,,
1166,,,,,,,,,,,,,,,Anthony Zerbe,,drug cartel|drug lord|james bond 007|personal vendetta|vengeance,,,,,,,,,,,
1167,,,,,,,,,,,,,,,Virginia Madsen,,death|forest|love|werewolf|werewolf bite,,,,,,,,,,,
1168,,,,,,,,,,,,,,,Kelsey Grammer,,criminal|detective|fire|homicide|media,,,,,,,,,,,
1169,,,,,,,,,,,,,,,Fiona Shaw,,based on video game|dinosaur|king|mario|plumber,,,,,,,,,,,
1170,,,,,,,,,,,,,,,Jared Burke,,1980s|arms dealer|immorality|ukrainian|warlord,,,,,,,,,,,
1171,,,,,,,,,,,,,,,Maggie Cheung,,china|flying|king|palace|sword,,,,,,,,,,,
1172,,,,,,,,,,,,,,,Patrick Fischler,,bail bond|bounty hunter|jeans|shot in the butt|title directed by female,,,,,,,,,,,
1173,,,,,,,,,,,,,,,Anders Holm,,assassination attempt|communist dictatorship|dictator|exploding helicopter|finger bitten off,,,,,,,,,,,
1174,,,,,,,,,,,,,,,Jed Brophy,,bullet time|explosion|knife throwing|throwing a knife|violence,,,,,,,,,,,
1175,,,,,,,,,,,,,,,Bob Hastings,,american soldier|naval uniform|navy|patrol boat|uniform,,,,,,,,,,,
1176,,,,,,,,,,,,,,,André Dussollier,,bullet|contortionist|gag humor|human cannonball|revenge,,,,,,,,,,,
1177,,,,,,,,,,,,,,,Evan Jones,,competition|contest|friend|self expression|white rapper,,,,,,,,,,,
1178,,,,,,,,,,,,,,,Mélissa Theuriau,,ape|computer animation|evolution|first person title|reference to louis de funes,,,,,,,,,,,
1179,,,,,,,,,,,,,,,Bérénice Bejo,,chaucer|jousting|knight|medieval times|tournament,,,,,,,,,,,
1180,,,,,,,,,,,,,,,Anthony Chau-Sang Wong,,hong kong|interpol|medallion|ship|tough cop,,,,,,,,,,,
1181,,,,,,,,,,,,,,,Olivia Williams,,able to see the dead|ghost|plot twist|psychic|surprise ending,,,,,,,,,,,
1182,,,,,,,,,,,,,,,J. Smith-Cameron,,detective|diamond|hotel|police|rooftop,,,,,,,,,,,
1183,,,,,,,,,,,,,,,JoBeth Williams,,alaska|birding|competition|migration|storm,,,,,,,,,,,
1184,,,,,,,,,,,,,,,William Bassett,,apartment|bully|fight|karate|master,,,,,,,,,,,
1185,,,,,,,,,,,,,,,Bradley Cooper,,based on true story|con artist|drunk wife|fbi investigation|scam,,,,,,,,,,,
1186,,,,,,,,,,,,,,,Craig T. Nelson,,alaska|deportation|father son relationship|male objectification|sitka alaska,,,,,,,,,,,
1187,,,,,,,,,,,,,,,Bruce Campbell,,blood|murder|sex scene|wrongful arrest|wrongful conviction,,,,,,,,,,,
1188,,,,,,,,,,,,,,,Thomas F. Wilson,,alternate timeline|same actor playing two characters simultaneously on screen|second part|year 2015|younger version of character,,,,,,,,,,,
1189,,,,,,,,,,,,,,,Amr Waked,,brain capacity|drugs|fictional drug|one woman army|tough girl,,,,,,,,,,,
1190,,,,,,,,,,,,,,,Callum Rennie,,female frontal nudity|female nudity|perversion|sex scene|spanking,,,,,,,,,,,
1191,,,,,,,,,,,,,,,Alexa PenaVega,,mission|spy|surfing|trapped|virtual reality,,,,,,,,,,,
1192,,,,,,,,,,,,,,,Oliver Platt,,african american|court|law|mississippi|trial,,,,,,,,,,,
1193,,,,,,,,,,,,,,,Bonnie Hunt,,9 year old|house|illinois|new job|vomiting,,,,,,,,,,,
1194,,,,,,,,,,,,,,,Dan Bilzerian,,courage|navy seal|outnumbered|shot multiple times|survival,,,,,,,,,,,
1195,,,,,,,,,,,,,,,Rosie O'Donnell,,baseball|friend|oregon|rivalry|softball,,,,,,,,,,,
1196,,,,,,,,,,,,,,,Robin Atkin Downes,,based on supposedly true story|house|paranormal investigating|psychic|second part,,,,,,,,,,,
1197,,,,,,,,,,,,,,,Marcella Lentz-Pope,,competitiveness|creator|entrepreneur|facebook|intellectual property,,,,,,,,,,,
1198,,,,,,,,,,,,,,,Sachiko Ishida,,advertising|bar|dating|lingerie slip|six word title,,,,,,,,,,,
1199,,,,,,,,,,,,,,,Regina Hall,,female nudity|male nudity|parody|reference to myspace|sequel,,,,,,,,,,,
1200,,,,,,,,,,,,,,,Nancy O'Dell,,death|ghostface|murder|scream|survivor,,,,,,,,,,,
1201,,,,,,,,,,,,,,,Thomas F. Wilson,,band|dog|letter|time machine|tombstone,,,,,,,,,,,
1202,,,,,,,,,,,,,,,Craig T. Nelson,,camera focus on female butt|gay bar|millionaire|singing in a car|two word title,,,,,,,,,,,
1203,,,,,,,,,,,,,,,Gary Oldman,,dracula|horror movie remake|maze|monster sex|vampire,,,,,,,,,,,
1204,,,,,,,,,,,,,,,Vanessa Ferlito,,american|blog|book|cook|cooking,,,,,,,,,,,
1205,,,,,,,,,,,,,,,Nicole Beharie,,baseball|baseball player|brooklyn dodgers|major league baseball|racism,,,,,,,,,,,
1206,,,,,,,,,,,,,,,Jack Davenport,,1950s|italy|mistaken identity|nudity|sociopath,,,,,,,,,,,
1207,,,,,,,,,,,,,,,Rob Riggle,,adoption|highway travel|road trip|sequel|stupidity,,,,,,,,,,,
1208,,,,,,,,,,,,,,,Wendy Crewson,,antarctica|dog|siberian husky|sled dog|survival,,,,,,,,,,,
1209,,,,,,,,,,,,,,,Rene Russo,,reference to ben affleck|reference to brad pitt|reference to george clooney|reference to jack nicholson|website,,,,,,,,,,,
1210,,,,,,,,,,,,,,,Bruce McGill,,computer hacker|crime boss|detective|drugs|wedding,,,,,,,,,,,
1211,,,,,,,,,,,,,,,Eric Schweig,,18th century|based on novel|colonel|french and indian war|revenge,,,,,,,,,,,
1212,,,,,,,,,,,,,,,Harry Lennix,,1950s|1960s|racism|rhythm and blues|singer,,,,,,,,,,,
1213,,,,,,,,,,,,,,,Jason Douglas,,anthology|corruption|hearing characters thoughts|neo noir|night,,,,,,,,,,,
1214,,,,,,,,,,,,,,,William Hurt,,explosion|multiple perspectives|president|secret service|shooting,,,,,,,,,,,
1215,,,,,,,,,,,,,,,Jane Curtin,,bromance|friend|gay brother|homosexual subtext|wedding,,,,,,,,,,,
1216,,,,,,,,,,,,,,,Susan Ward,,dying|friend|inner beauty|love|self help guru,,,,,,,,,,,
1217,,,,,,,,,,,,,,,Cheryl Penland,,death|gay slur|homosexuality|investigation|president,,,,,,,,,,,
1218,,,,,,,,,,,,,,,Marisol Nichols,,cheerleading|fbi|fbi agent|nanny|undercover,,,,,,,,,,,
1219,,,,,,,,,,,,,,,Julia Roberts,,curse|hostage|mexico|pistol|vomiting,,,,,,,,,,,
1220,,,,,,,,,,,,,,,Alex Russell,,emaciation|male nudity|plane crash|prisoner of war|torture,,,,,,,,,,,
1221,,,,,,,,,,,,,,,Thomas Lennon,,adult as child|father son relationship|high school student|janitor|school,,,,,,,,,,,
1222,,,,,,,,,,,,,,,David Thornton,,beach house|blonde bombshell|cheating husband|revenge|wife meets mistress,,,,,,,,,,,
1223,,,,,,,,,,,,,,,Shantel VanSanten,,attempted suicide|car crash|collapsing scaffold|overflowing bathtub|tooth knocked out,,,,,,,,,,,
1224,,,,,,,,,,,,,,,Amy Ryan,,cia|cold war|lawyer|negotiation|spy,,,,,,,,,,,
1225,,,,,,,,,,,,,,,Sam Jaeger,,battle|massacre|navigator|navy|rescue,,,,,,,,,,,
1226,,,,,,,,,,,,,,,Lino Facioli,,concert|drugs|recession|record company|rock star,,,,,,,,,,,
1227,,,,,,,,,,,,,,,Omar Benson Miller,,dance|dance competition|dance lesson|love|teacher,,,,,,,,,,,
1228,,,,,,,,,,,,,,,Robert Picardo,,action figure|battle|computer|military|toy,,,,,,,,,,,
1229,,,,,,,,,,,,,,,Miko Hughes,,based on comic|based on comic book|dark hero|image comics|superhero,,,,,,,,,,,
1230,,,,,,,,,,,,,,,Michael Wincott,,count|escape|island|revenge|sailor,,,,,,,,,,,
1231,,,,,,,,,,,,,,,Frances Fisher,,defense attorney|defense lawyer|lawyer|plot twist|prostitute,,,,,,,,,,,
1232,,,,,,,,,,,,,,,Aidan Quinn,,agriculture|airport|amnesia|nurse|scientist,,,,,,,,,,,
1233,,,,,,,,,,,,,,,Scarlett Johansson,,illusion|magician|obsession|rivalry|secret,,,,,,,,,,,
1234,,,,,,,,,,,,,,,Lindsay Sloane,,kidnapping|reference to franz beckenbauer|scene during end credits|second part|singing in a car,,,,,,,,,,,
1235,,,,,,,,,,,,,,,Jonathan Morgan Heit,,alien|cult film|mission control|product placement|rescue,,,,,,,,,,,
1236,,,,,,,,,,,,,,,Jonathan Brewer,,jaguar|mayan|solar eclipse|tribe|village,,,,,,,,,,,
1237,,,,,,,,,,,,,,,Art Malik,,british agent|defection|escape|kgb|soviet general,,,,,,,,,,,
1238,,,,,,,,,,,,,,,Derek Mears,,kicked in the face|martial arts|punched in the face|strong female character|woman punching a man,,,,,,,,,,,
1239,,,,,,,,,,,,,,,Roscoe Lee Browne,,judicial|judiciary|lawyer|murder|painting,,,,,,,,,,,
1240,,,,,,,,,,,,,,,Timothy Hutton,,adultery|extramarital affair|infidelity|unfaithfulness|writer,,,,,,,,,,,
1241,,,,,,,,,,,,,,,Ebon Moss-Bachrach,,house|lake|letter|love across time|parallel time,,,,,,,,,,,
1242,,,,,,,,,,,,,,,Joy Bryant,,attic|bound and gagged|hoodoo|secret|southern gothic,,,,,,,,,,,
1243,,,,,,,,,,,,,,,Common,,dodgeball|portrait|soccer|soccer game|young love,,,,,,,,,,,
1244,,,,,,,,,,,,,,,Kevin Sussman,,friend|love|maid|maid of honor|marriage,,,,,,,,,,,
1245,,,,,,,,,,,,,,,Scott Vance,,band|music group|musical quartet|singer|song,,,,,,,,,,,
1246,,,,,,,,,,,,,,,Virginia Madsen,,courtroom|domestic violence|insurance company|lawyer|underdog,,,,,,,,,,,
1247,,,,,,,,,,,,,,,Bernard Hill,,memory|murder|patient|psychiatrist|the devil,,,,,,,,,,,
1248,,,,,,,,,,,,,,,Matthew McConaughey,,courtroom|mutiny|ship|slave ship|slave trade,,,,,,,,,,,
1249,,,,,,,,,,,,,,,Sean Connery,,cancer|environment|gas chromatograph|jungle|nature,,,,,,,,,,,
1250,,,,,,,,,,,,,,,Ian Whyte,,alien|escape|hunting|hybrid|predator,,,,,,,,,,,
1251,,,,,,,,,,,,,,,Jonathan Hyde,,attempted murder|based on comic book|escape from prison|lost at sea|wealth,,,,,,,,,,,
1252,,,,,,,,,,,,,,,Elaine Stritch,,may december romance|new york|new york city|rockefeller center|title directed by female,,,,,,,,,,,
1253,,,,,,,,,,,,,,,Haley Bennett,,love|lyricist|singer|singing|song,,,,,,,,,,,
1254,,,,,,,,,,,,,,,Jeremy Owen,,alien|geek|nerd|road trip|ufo,,,,,,,,,,,
1255,,,,,,,,,,,,,,,Julene Renee,,cross country|love|mother son relationship|on the road|trip,,,,,,,,,,,
1256,,,,,,,,,,,,,,,Shenae Grimes-Beech,,author|book|deputy|murder|sheriff,,,,,,,,,,,
1257,,,,,,,,,,,,,,,Anthony Heald,,investigation|obsession|private eye|private investigator|snuff film,,,,,,,,,,,
1258,,,,,,,,,,,,,,,Kathleen Quinlan,,death|paris france|rock band|singer|the doors,,,,,,,,,,,
1259,,,,,,,,,,,,,,,Nat Faxon,,sex in a car|sex video|sexual desire|sexuality|undressing,,,,,,,,,,,
1260,,,,,,,,,,,,,,,Jesse James,,actress|clown costume|magazine|party planner|soap opera actress,,,,,,,,,,,
1261,,,,,,,,,,,,,,,Courtney B. Vance,,blood splatter|death|eyeball run over by car|latex gloves|suspension bridge,,,,,,,,,,,
1262,,,,,,,,,,,,,,,Vincent Pastore,,auctioneer|fbi|mafia|mobster|painting,,,,,,,,,,,
1263,,,,,,,,,,,,,,,Angie Dickinson,,alcoholism|boy|good deed|protective male|teacher,,,,,,,,,,,
1264,,,,,,,,,,,,,,,Ione Skye,,baltimore orioles|boston red sox|promotion|ups|world series,,,,,,,,,,,
1265,,,,,,,,,,,,,,,Daniel Brochu,,based on children's book|best friend|character name in title|friend|one word title,,,,,,,,,,,
1266,,,,,,,,,,,,,,,Matt Walsh,,bodyguard|bully|generation y|high school|nerd,,,,,,,,,,,
1267,,,,,,,,,,,,,,,Seth MacFarlane,,dancing sheep|fetish|musical scene|racial humor|snake poison,,,,,,,,,,,
1268,,,,,,,,,,,,,,,John Kapelos,,1930s|bomb|city|invisibility|the shadow,,,,,,,,,,,
1269,,,,,,,,,,,,,,,Stephen Henderson,,fear|mourning|mute|quest|revelation,,,,,,,,,,,
1270,,,,,,,,,,,,,,,Vanessa Aspillaga,,job offer|roller coaster|slow motion action scene|slow motion sequence|television,,,,,,,,,,,
1271,,,,,,,,,,,,,,,Marc John Jefferies,,male frontal nudity|male pubic hair|prison|pubic hair|violence,,,,,,,,,,,
1272,,,,,,,,,,,,,,,Anne Archer,,blood splatter|fbi|murder|secretary general|united nations,,,,,,,,,,,
1273,,,,,,,,,,,,,,,Jesse L. Martin,,aids|hiv positive|lawyer|new york city|roommate,,,,,,,,,,,
1274,,,,,,,,,,,,,,,Angela Bettis,,easter|fbi|luminol|nurse|omen,,,,,,,,,,,
1275,,,,,,,,,,,,,,,Carlease Burke,,job interview|manhattan new york city|new york city|remake|sausage,,,,,,,,,,,
1276,,,,,,,,,,,,,,,Marco Hofschneider,,animal experimentation|chimera|island|jungle|mutant,,,,,,,,,,,
1277,,,,,,,,,,,,,,,Stephen Rea,,guard|king|murder|musketeer|swordsman,,,,,,,,,,,
1278,,,,,,,,,,,,,,,Benedict Cumberbatch,,children|court|king|king henry viii|love,,,,,,,,,,,
1279,,,,,,,,,,,,,,,Frank Langella,,advertising|cancer|dog|san francisco california|terminal illness,,,,,,,,,,,
1280,,,,,,,,,,,,,,,William Ragsdale,,biblical plague|louisiana|missionary|plague|small town,,,,,,,,,,,
1281,,,,,,,,,,,,,,,David Proval,,bar|catholic guilt|epilepsy|italian american|money,,,,,,,,,,,
1282,,,,,,,,,,,,,,,Lillo Brancato,,army|basic training|reference to shakespeare's hamlet|teacher|u.s. army,,,,,,,,,,,
1283,,,,,,,,,,,,,,,Jesse Borrego,,female in a shower|female nudity|premarital sex|sex scene|woman wearing a miniskirt,,,,,,,,,,,
1284,,,,,,,,,,,,,,,Eric Idle,,camelot|dragon|excalibur|knight|sword,,,,,,,,,,,
1285,,,,,,,,,,,,,,,John Doman,,beach|grandson|murder|new york city|police,,,,,,,,,,,
1286,,,,,,,,,,,,,,,Steven Weber,,based on article|blindness|box office flop|massage therapist|regaining sight,,,,,,,,,,,
1287,,,,,,,,,,,,,,,Christina Milian,,murder|on the run|security camera|surveillance footage|timebomb,,,,,,,,,,,
1288,,,,,,,,,,,,,,,Bridget Fonda,,drug dealer|mayor|new york city|probation|scandal,,,,,,,,,,,
1289,,,,,,,,,,,,,,,Robert Davi,,cult film|lap dance|lap dancing|stripper|striptease,,,,,,,,,,,
1290,,,,,,,,,,,,,,,Rip Torn,,austria|cake|france|queen|versailles,,,,,,,,,,,
1291,,,,,,,,,,,,,,,Philip Baker Hall,,beard|female nudity|police brutality|stripper|woman in lingerie,,,,,,,,,,,
1292,,,,,,,,,,,,,,,Lauren Lee Smith,,affair|car crash|enforcer|funeral|murder,,,,,,,,,,,
1293,,,,,,,,,,,,,,,Oaklee Pendergast,,christmas|resort|thailand|tourist|tsunami,,,,,,,,,,,
1294,,,,,,,,,,,,,,,Isabelle Adjani,,cia|emir|hotel|map|morocco,,,,,,,,,,,
1295,,,,,,,,,,,,,,,Helen McCrory,,cider|farm|farmer|fox|tale,,,,,,,,,,,
1296,,,,,,,,,,,,,,,James Gammon,,football|homeless man|interview|psychic|reporter,,,,,,,,,,,
1297,,,,,,,,,,,,,,,Patricia Heaton,,accident|bar|chase|cia|laboratory,,,,,,,,,,,
1298,,,,,,,,,,,,,,,Isabelle Nanty,,cheerfulness|female protagonist|garden gnome|magical realism|waitress,,,,,,,,,,,
1299,,,,,,,,,,,,,,,Riley Smith,,dog|new york city|scholarship|senator|twin,,,,,,,,,,,
1300,,,,,,,,,,,,,,,Jane Krakowski,,best friend|commitment|friend|limousine driver|one night stand,,,,,,,,,,,
1301,,,,,,,,,,,,,,,Andrew Daly,,arctic circle|reporter|small town|volunteer|whale,,,,,,,,,,,
1302,,,,,,,,,,,,,,,Jonathan Jackson,,basketball|boy|italian|kidnapping a child|reunion,,,,,,,,,,,
1303,,,,,,,,,,,,,,,Udo Kier,,bondage gear|bound and gagged|hung by one's wrists|tied to a chair|tied to a table,,,,,,,,,,,
1304,,,,,,,,,,,,,,,Patrick Fugit,,antidote|based on young adult novel|flyer|spider|vampire,,,,,,,,,,,
1305,,,,,,,,,,,,,,,Daniel Mays,,assistant|experiment|frankenstein|medical student|scientist,,,,,,,,,,,
1306,,,,,,,,,,,,,,,Harvey Fierstein,,christmas|duplex|television|tenant|writer,,,,,,,,,,,
1307,,,,,,,,,,,,,,,Mike Epps,,band|masturbation|reunion|singer|tribute,,,,,,,,,,,
1308,,,,,,,,,,,,,,,Anne Archer,,military|mineral|ocean|ship|titanic,,,,,,,,,,,
1309,,,,,,,,,,,,,,,Xander Berkeley,,combat|computer|general|military|reporter,,,,,,,,,,,
1310,,,,,,,,,,,,,,,Eddie Rouse,,future|mission|space|spaceship|survival,,,,,,,,,,,
1311,,,,,,,,,,,,,,,Tim Guinee,,alien|android|bomb|future|weapon,,,,,,,,,,,
1312,,,,,,,,,,,,,,,Rupert Graves,,commercial|extreme sports|mountain|serbian|terrorist,,,,,,,,,,,
1313,,,,,,,,,,,,,,,John Aylward,,alternate history|alternate timeline|flatulence|future time travel|time travel comedy,,,,,,,,,,,
1314,,,,,,,,,,,,,,,Troy Garity,,astronaut|earth|future|icarus|sun,,,,,,,,,,,
1315,,,,,,,,,,,,,,,Greg Collins,,box office flop|buddhist|liar|literary agent|magical tree,,,,,,,,,,,
1316,,,,,,,,,,,,,,,Kelly Ripa,,box office flop|computer animation|one word title|surrealism|villainess,,,,,,,,,,,
1317,,,,,,,,,,,,,,,Jasmine Trinca,,assassination|blood vomiting|death|hit squad|mercenary,,,,,,,,,,,
1318,,,,,,,,,,,,,,,Ashley Walters,,14 year old|british|gadget|spy|training,,,,,,,,,,,
1319,,,,,,,,,,,,,,,Jose Pablo Cantillo,,binoculars|electronic tag|house arrest|neighbor|watching someone,,,,,,,,,,,
1320,,,,,,,,,,,,,,,Lorraine Bracco,,computer|computer virus|cyberpunk|fight the system|sexual fantasy,,,,,,,,,,,
1321,,,,,,,,,,,,,,,Ljubomir Kerekes,,bosnia|cia|fox|hunt|war criminal,,,,,,,,,,,
1322,,,,,,,,,,,,,,,John Mahoney,,art deco|board of directors|industry|mail|stock,,,,,,,,,,,
1323,,,,,,,,,,,,,,,Andy Lau,,assassination|blood brother|dynasty|general|stabbing a woman,,,,,,,,,,,
1324,,,,,,,,,,,,,,,Jason Scott Lee,,1800s|kazakhstan|nomad,,,,,,,,,,,
1325,,,,,,,,,,,,,,,Kang-ho Song,,closed ecological system|perpetual winter|population control|revolt|train,,,,,,,,,,,
1326,,,,,,,,,,,,,,,François Cluzet,,belle epoque|city name in title|monster|paris france,,,,,,,,,,,
1327,,,,,,,,,,,,,,,Tim Blake Nelson,,fbi|movie producer|sting operation|undercover|urination,,,,,,,,,,,
1328,,,,,,,,,,,,,,,David Patrick Kelly,,back from the dead|crime boss|crow|gothic|vigilante,,,,,,,,,,,
1329,,,,,,,,,,,,,,,Prabhas,,ancient india|dual role|good versus evil|hindu|kingdom,,,,,,,,,,,
1330,,,,,,,,,,,,,,,Michelle Nolden,,jumping on a bed|kissing while having sex|librarian|male objectification|pregnant woman in bathtub,,,,,,,,,,,
1331,,,,,,,,,,,,,,,Tom Everett Scott,,meddling|psychologist|sobbing female|subtitled scene|you can say that again joke,,,,,,,,,,,
1332,,,,,,,,,,,,,,,Jordana Brewster,,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,,,,,,,,,,,
1333,,,,,,,,,,,,,,,Atticus Shaffer,,dog|life|remake by original director|science|stop motion animation,,,,,,,,,,,
1334,,,,,,,,,,,,,,,Michael Hitchcock,,alliance|cannibalism|future|operative|planet,,,,,,,,,,,
1335,,,,,,,,,,,,,,,Tim Daly,,boxer|boxing|boxing arena|boxing manager|directed by co star,,,,,,,,,,,
1336,,,,,,,,,,,,,,,Jackie Cooper,,computer|high school|kryptonite|smallville|villain,,,,,,,,,,,
1337,,,,,,,,,,,,,,,Oscar Gale,,broke|promoter|retirement|trainer|training,,,,,,,,,,,
1338,,,,,,,,,,,,,,,Wei Zhao,,alliance|battle|china|chinese|strategy,,,,,,,,,,,
1339,,,,,,,,,,,,,,,Courtney Gains,,alabama|divorce|divorce papers|husband wife relationship|new york city,,,,,,,,,,,
1340,,,,,,,,,,,,,,,Eric Winter,,call in|chick flick|date|hot air balloon|show producer,,,,,,,,,,,
1341,,,,,,,,,,,,,,,Max Casella,,greenland|military|revenge|soldier|u.s. soldier,,,,,,,,,,,
1342,,,,,,,,,,,,,,,Emily Osment,,island|mad scientist|scientist|sequel|spy,,,,,,,,,,,
1343,,,,,,,,,,,,,,,Jonathan Frakes,,23rd century|bare chested male bondage|enterprise the starship|rescue|sacrifice,,,,,,,,,,,
1344,,,,,,,,,,,,,,,Elvis Tsui,,challenge|china|hong kong|martial arts|martial arts master,,,,,,,,,,,
1345,,,,,,,,,,,,,,,James Frain,,circus|circus vargas|elephant|fear|train,,,,,,,,,,,
1346,,,,,,,,,,,,,,,Kristen Johnston,,alien|digit in title|human form|number 3 in title|talking on a rooftop,,,,,,,,,,,
1347,,,,,,,,,,,,,,,Jiao Xu,,,,,,,,,,,,,
1348,,,,,,,,,,,,,,,Deborah Kara Unger,,african american|book|boxer|boxing|murder,,,,,,,,,,,
